Provinsi,IPM,UHH,HLS,RLS,Pengeluaran_per_Kapita
ACEH,76.23,73.48,14.4,9.95,11191
SUMATERA UTARA,76.47,74.19,13.5,10.08,11898
SUMATERA BARAT,77.27,74.69,14.31,9.77,12041
RIAU,76.31,74.74,13.44,9.55,12233
JAMBI,75.13,74.39,13.34,8.95,12018
SUMATERA SELATAN,74.76,74.58,12.65,8.91,12416
BENGKULU,75.68,73.59,13.76,9.23,12197
LAMPUNG,73.98,74.71,12.79,8.61,11683
KEP. BANGKA BELITUNG,75.26,74.46,12.5,8.65,13837
KEP. RIAU,80.53,75.46,13.28,10.72,15881
DKI JAKARTA,85.05,76.27,13.8,11.59,20676
JAWA BARAT,75.9,75.53,13.02,9.14,12447
JAWA TENGAH,74.77,75.24,13.05,8.15,12746
DI YOGYAKARTA,82.48,75.64,15.78,10.2,15855
JAWA TIMUR,76.13,75.36,13.44,8.39,13509
BANTEN,77.25,75.33,13.11,9.56,13498
BALI,79.37,75.46,13.63,9.75,15383
NUSA TENGGARA BARAT,73.97,72.6,13.99,8.21,11922
NUSA TENGGARA TIMUR,69.89,72.16,13.34,8.22,8735
KALIMANTAN BARAT,72.09,74.28,12.69,8.07,10689
KALIMANTAN TENGAH,74.86,74.01,12.78,8.96,12612
KALIMANTAN SELATAN,76.1,74.49,13.12,8.81,13757
KALIMANTAN TIMUR,79.39,75.28,14.04,10.1,14254
KALIMANTAN UTARA,74.04,73.68,13.31,9.44,10568
SULAWESI UTARA,76.32,74.44,12.98,9.91,12450
SULAWESI TENGAH,72.82,71.1,13.35,9.1,10934
SULAWESI SELATAN,75.92,74.15,13.56,9,12773
SULAWESI TENGGARA,74.25,72.06,13.72,9.56,10992
GORONTALO,72.62,71.06,13.18,8.38,11937
SULAWESI BARAT,71.16,71.44,12.9,8.31,10516
MALUKU,74.09,71.02,14.1,10.51,9900
MALUKU UTARA,72.52,71.47,13.76,9.5,9613
PAPUA BARAT,68.48,68.76,13.21,8.07,9115
PAPUA BARAT DAYA,70.55,70.31,13.89,8.69,9076
PAPUA,74.69,70.77,13.94,10.01,11342
PAPUA SELATAN,69.54,68.71,12.68,8.64,9983
PAPUA TENGAH,60.64,68.38,9.64,6.13,8036
PAPUA PEGUNUNGAN,54.91,67.55,9.98,4.3,5861
